full_text,label
Rill perusak KPop tuh SM YG entah agensi penggemar maupun idolnya. Coba liat kasus2 mengerikan di kpop tuh selalu dr SM dan YG. Idol bundir kasus seungri taeil kriss wu belum lagi kasus2 lain sprti narkoba kebanyakan dari dua agensi itu wkwkwk,0
TAEIL NCT GAK PERNAH DI GERUS TERUS TERUSAN KEG GINI.. PADAHAL KASUS NYA BEJAT BIADAB BGT.,0
@- oh bapaknya si ha3rin ya(?) sebenarnya nggak terlalu ngikutin kasus mereka tapi seliweran di tl gue sering hit tweet yang hate komen ke 2 grup itu parah banget sih bahkan tembus puluhan ribu like. bener-bener kaya memperlakukan ke idol kriminal giliran taeil gak digituin lol,0
@- Taeil abis kena kasus lgsg dihujat fandom sendiri. Kagak ada yg bela satu pun waktu itu Bahkan solo stand dia lgsg bakar pc2 ny najis2in knp bisa ketipu dg tampangnya Dan kita gak ada sedikitpun naikin tagar kayak kalian we love bla bla kalo bias kalian ada masalah,0
@- @- @- Setuju kontroversi Taeil adalah tindak pidana langsung yang terbukti secara hukum sedangkan kasus RM masih tuduhan donasi yang belum diverifikasi penuh dan lebih bersifat administratif. Pencapaian RM sebagai leader global BTS dan kontribusi sosialnya memang lebih masif,0
@- @- Kya kasus taeil ga si kak dulu pada begini karena yaaa keliatan anaknya baik bgtt dan bonusnya suara dia emang beneran bagus gak kaya si rm ini. Tapi setelah kasusnya keungkap baru deh fansnya pada speak up kalo sebenernya mengakui si taeil jelek. Jelek muka jelek akhlak,0
@- Pas kasus Taeil ada aja saya mundur alon-alon jadi NCTzen..,0
@- Terus kenapa kalo hujat? Ada fandom lu boycot dia? Berkaca dari kasus Taeil kalian itu hujat di awal doang ujung2nya juga dukung. Munafik,0
@- Setuju pas kasus taeil kaget tapi ga sekaget ni org mana tiap hari gebrakan kasusnya ga abis abis...,0
@- Kasusnya aja gasama dan yang ngirim bunga ke S kan juga dari fandom sendiri. Kalau kasus Taeil dari sejak pengumuman dia dikeluarin dari grup semua orang berusaha buat ngapus eksistensi dia dan pada dukung victim. Stop ngebandingin.,0
yang ngomong kasus si Taeil adem ayem tuh siapa? dari mana? liat apa lu? ga ada yang kirim karangan bunga karena SM aja udah nendang itu si kontol dari agensi??? mau ngapain lagi??? tot lu bisa banget gak bawa nama si kontol buat bela idola lu anjing.,0
@-kalo gaada sumber valid tiati hoax nder biasanya di sokor kalo lagi panas begini kebiasaan jadi kesempatan orang buat share hoax biar rame aja kek kasus taeil kemarin. tunggu splill-an dari pihak keluarga ksr ajaaa,0
Lo pada masih aja bilang kasus Taeil adem ayem tapi sebenernya lo ngerti situasinya atau cuma asal ngomong doang? Taeil itu melakukan kekerasan seksual dan begitu kasusnya terungkap SM langsung bertindak. Dia dikeluarin dari grup dan agensi tanpa negosiasi..,0
@- Kemari 2 vt tiktok lewat gak tau army apa bukan tapi bikin vt ovt/ngeraguin tentang sifat member bts semenjak ada scandal kim sooh Yun btw ni army tiktok bikin vt kek gitu gak cuma sekali anjir dulu waktu ada kasus taeil juga pada ovt sama sifat bangtan,0
@- KSH adem ayem drmn gue tanya di hampir seluruh penjuru bumi aj lg ngebahas kasus ny dia kalo taeil iya si mnrt gue rada adem harusny tuh kirim karangan bunga ke agensi sialan GM,0
Kasus Taeil aje ga ada tuh berita-beritanya padahal dia jelek. Gue kira bakal dirujak taunya enggak. Ternyata ga mandang ganteng/jelek yg penting cowo WKWKWKKWKWKWKWKWKWA,0
Yg mulai narasi taeil adem adem aja itu dari sapa sih? Perkara ga ada flower wreath? Dari detik pertama kasus muncul dia langsung dikeluarin dari nct gaada rumor sebelumnya. Terus mau kirim bunga kemana rumah nya? Gaada yg tau alamat dia kecuali sasaeng,0
Muak banget yang selalu bandingin kasus ini. Lagian yang ngirim karangan bunga itukan fansnya sendiri buat kasus Taeil juga darimana adem ayemnya. Buat apa fansnya ngirimin karangan bunga orang udah out. Ini lagi ada orang berduka bawa bawa kasus lain.,0
Apa yang lebih draining dari ngikutin kasus Taeil? Ngikutin kasusnya Kim Soohyun Gue kira Taeil tuh udah yg paling draining. Sampai sempet hibernasi panjang bgt waktu itu. Eh ada pesaingnya di 2025 Baru awal tahun loh ini,0
gua ambil contoh dari koment vt yg lewat fyp konteksnya ini tentang kasus si soomen and for ONCE gua seneng bgt kita udh dikenal 'waras' even sama orang yg bukan bagian dari fandom. jadi kalo lu bawa2 taeil lg dan bilang kita adem ayem for him stfu bitch,0
kalau cewek liat oppa dia red flag tetap aku fans aku dulu suka taeil semenjak kasus gak sudi jadi fansnya,0
emang lo maunya gimana? semua orang harus bahas-bahas terus tentang kasus si taeil ini? that's someone's life. possibly the worst day of the victim's life dan lo mau setiap hari she could see the reminder of it? gitu? PAKE OTAK LO,0
pake deh otak lo semua anjir. stop bawa-bawa kasus si taeil itu untuk gotcha moment dan ngebanding-bandingin. adem ayem itu ya karena agensi gercep dan fans juga puas karena dia langsung dikeluarin. tolol banget sih heran.,0
lu pada ngomong kasus taeil adem ayem tuh otaknya pada dimana sih? heran gue. taeil itu kasusnya MEMPERKOSA orang. SM langsung ngeluarin dia dari grup dan dari agensi tanpa babibu. seluruh eksistensi dia di grup dihapus. fans juga semuanya udah gak ada support dia.,0
Ini aneh bgt masa pacaran lebih kriminal dibanding kasus soomen taeil . sakit jiwa,0
ngeliat kasus taeil ksh gue jadi trust issues apa stop collect pc md cowo kpop dari sekarang ya takut tiba bias gue blunder rudi gong,0
@luvmoinks goblokkkk kalo emg beneran ni berita ksh beneran psikopat sih anjrittt. ngingetin gue ke kasus si taeil bangsat brandingan greenflag aslinya kelakuan iblis,0
Bener yah doi ga bikin video tentang si taeil tapi bikin video tentang kasus yang baru ini Karyawan semen apa ?,0
@- gak pernah sejijik ini setelah kasus si taeil,0
ade gua baru bgt tertarik nct dia dngn polosnya nanya ka suara taeil kan bagus bgt tp ko kyanya jarang nongol si? trs nanya lg ka renjun sama kun ko blm ada kabar sih nyanyi bareng siapa di comeback bsk? gua cm bs blg gatau tanya SM sana gara2 gua gedeg ama pertanyaannya,1
@- FROM HOME MEMANG ENAK BGT YA ALLAH SUARA TAEIL SAMA DOY DI SITU SKSKKSKSKS YA ALLAH Hmmm coba dengeran fly away with me - nct 127,1
@- doyoung (gangerti deh vokal dia tuh mau dibikin seksi mellow ceria masuk2 aja ) taeil (HIGHNOTE NYA JUARA) yangyang (yy tuh tipe suara artis hollywood deh paham gasii kek serek tipis deep gtu deh),1
@- urutannya gini Chenle - gatau lagi suka banget bingung jelasinnya aplg high note Renjun - gue melting denger suaranya Haechan - aslian ni haechan suaranya nyaman bgt di kuping Taeil - emang suara taeil ga perlu diragukan Jaehyun - suaranya kek tipe denger dikit langsung kejang,1
so far di NCT aku paling tau suara tanpa liat member itu suaranya Heechan Mark Jaehyun Doyoung Ten Lucas Taeil.,1
kadang aku tuh bosen denger lagu nct tp aku pengennya denger suara mereka nah itu adalah cover lagu tp masalahnya itu gada di spotify jd solusinya aku harus pacaran sm taeil biar dinyanyiin ampe tidur :(,1
W sesayang itu sm cowo ini Kek gaada yg sama kek lo di kehidupan w Lo yg buat w bertahan hidup denger suara lo aja w dah seneng bgt bgt #taeil #slowacid #moontaeil #nct ,1
ga bisa bayangin dengerin lagu NCT tanpa ada suara TAEIL di dalamnya jangan wamil dulu #TAEIL please,1
random thoughts suara taeil sama chenle enak bgt dah gua kayanya se nct sukanya sama suara ini orang berdua kayak WOWWWWWWW BANGETTTT GITUUUUU,1
Kalo haechan nct emg sukanya baru-baru ini kecantol karna suara dia bukan ke taeil atau doyoung tp justru kedia setelah nonton nct dream. Karna khas mungkin. Tp kalo wonwoo tuh udah lama karna dia mirip sm yunho tvxq mana diatu kalem banget tp dingin tp gemesin!,1
@- sorry oot taeil klo rekaman trus megang dada bagian bawah nya itu biar suara nya lebih panjang atau gmn ya? soalnya baru merhatiin wkt rekaman favorite sma sticker kmrn,1
Sebut saja ada Mark (Mahen) Yuta (Yudha) Jaehyun (Jamal) Taeyong (Tio) Doyoung (Dimas) Taeil (Tian) Jungwoo (Juan) Johnny (Doni) dan Haechan (Haikal).,1
[️] 211111 cho_yk_cho Instagram Update dengan #TAEIL Jo Yoon Kyung adalah penulis lagu 'Love Right Back'. 'Sangat menyenangkan mendengarkan suara Taeil di satu lagu yang dimana kombinasi dan chemistry 3 laki2 termasuk Lil Boi sangat cantik.#LoveRightBack️' -c- ,1
Mba heize next album gapengen gaet anak nct gitu? Ngebayangin suara mark ato gk echan ato gk taeil ato gk doy di lagu2nya mba heize keknya cakep,1
nangissss raiden beneran gue mau ucapin makasi banyak bgt udh ajakin member nct koleb (taeil xiaojun) ini suara taeil ya Allahh keren bgt dunia harus tau moon taeil ,1
gw suka bgt sama jenis suara taeil wkwk vokalis fav gw di nct kayak yang dibilang mark kadang2 dengar suara taeil bisa melayang berasa ke surga HAHAHAHAHA,1
* Lagu 'Love Right Back' - DJ Raiden ft #TAEIL &amp; lIlBOI merupakan lagu R&amp;B Pop. Lirik menggambarkan tentang perasaan kehilangan dan kebebasan setelah cinta sempurna berakhir disertai dengan suara cerah yang mengekspresikan perasan sedih &amp; harapan.,1
Dari seluruh main vocal nct yg gue suka tuh vocalnya xiaojun. Kl di nct 127 ada taeil yg gw suka highnotenya juga doyoung yg punya suara merduuuu banget. Nah xiaojun tuh punya dua-duanya. Bikin baper anjay ini yg jd ceweknya apa kagak meleyot tiap dinyanyiin doi :((,1
Sama kayak awal dengerin nct 2 tahun awal gabisa bedain suara doy ama taeil,1
Dia memilih lagu Rainy Night buat suasana ini. Dia bilang vibes musim gugur dan suara #TAEIL #DOYOUNG #JAEHYUN #JUNGWOO &amp; #HAECHAN cocok dan itu bagus buat menenangkan diri kita nggak boleh sedih. Cr. Neocityjpn,1
Emang dari dulu tuh suara Chenle candu bgd no satu vocal paling candu di NCT tuh Chenle abis itu Taeil terus Haechan. MEREKA bertiga apa gak mau di bikin trio sama SM namanya HTC,1
@- Timeless lebih teptnya suara taeil di timeless dgr suara dia trus lebih nelusurin brand ini,1
moon taeil km gemes bgt cinta imissyou,1
kadang pengen pacaran sama haechan beberapa menit kemudian pengen pacaran sama Mark. liat Johnny hot dikit tiba2 oleng ke dia meleng dikit liat jaehyun tiba2 terpesona. lirik jungwoo eh tiba2 jatuh cinta disenyumin taeyoung tiba2 pindah haluan. liat bang taeil kalem tiba2~,1
!!TAHAPAN JATUH CINTA PADA TAEIL!! melihat taeil → mencari tahu tentang taeil → mencintai taeil → menyayangi taeil → memikirkan taeil → merindukan taeil → menangisi taeil,1
@- Tenggelam di lautan cinta moon taeil,1
@- TAPI TAEIL EMANG SUAMIABLE BANGETTT‼️dia tuh cuek yang perhatian gitu malah makin bikin jatuh cinta,1
tau gakk? gue tuh ngerasa rasa sayang dan cinta gue abis di taeil iya tau masih cyentil ke idol lain wqwq masih sayang bangett banget sama jinki wookie tp sayang ke taeil tuh beda gitu gue rasa,1
Ini nih yg bikin cinta taeil. Respon pas denger harmonisasinya cmn HAH GILE . Trus diulang2 deh,1
Ni orang beneran lucu bgt njirlahhh HEH MOON TAEIL STOP BIKIN JATUH CINTA NAPA!!!!!,1
cinta mati selamanya yaallah apa kabar taeil :(,1
@- di era ay-yo jatuh cinta banget sama bang taeil,1
Aku kalau misal dikasih kesempatan fansign sama Taeil -nanya kabar -nanya kpn upload cover terbaru -nanya kpn ada project solo -bacain surat cinta -blg sehat sehat org baik -blg tlg inget muka aku -blg smg aku sering ketemu km -i love u bgt -MINTA nyanyiin versace on the floor,1
TERNYATA ADA POV TAEYONG WAKTU PENONTON DAY 1 TERIAKIN NAMA MOON TAEIL BUUU SAMPEIN TERIAKAN CINTA KITA BUAT MAS BULAN YAAA BILANGIN KALO BANYAK YG SAYANG SAMA TAEIL DAN SEMUA KANGEN TAEIL ,1
Klo ofc fandom solo kyungsoo basic nya warna kuning keknya ak makin cinta ama warna kuning gmn engga Taeil penyuka warna kuning ditambah Kyungsoo pun juga,1
huhuhu aku seneng bgt soalnya dia beneran menuhin keinginan dia buat kuliah. cinta banget mas taeil sayangku️,1
@- daaan buat moondanse semoga kita semua juga selalu diberikan kesehatan dan umur yg panjang.. ayo kita kasih banyak cinta dan dukungan buat taeil dan semoga kita juga bisa ketemu taeil suatu hari nanti yaa aamiin..,1
Mau ikutaan. Mds yang butuh ls nct sama slogan taeil cmumu bisa hmu yah. No fee asal dijaga dg cinta ,1
alasan aku selalu jatuh cinta sama cowo kpop : they even don't know me but they never hurt me sehat sehat ya taeil jeno wonbin sohee dk shua u light my life ️,1
@- RENJUUUNNN dulu waktu live v-live nct 2020 yg ada Sungchan Taeil sm Renjun (maaf klo ada memb lain udh lupa). ak komen katakan aku cinta kamu (kalo gasalah) kalo kamu lihat komen ini dalam bakor trs dia notisss aaaakkk cm ak ga record krn ga ekspek dia bakal notis,1
@- taeil aja ga bosen bikin kamu jatuh cinta terus hehe,1
bjir bjir bjir kmrn johnten ini johnny protective banget ke ten trus johnil dimana taeil disitu johnny skrng cinta lama bersemi kembali alias ga ngedip liat yoona... ini jalur mana lagi yang harus aku gebor supaya masuk ke dalam jajaran manusia yang dirimu kagumi yanq,1
jatuh cinta kesekian kalinya sama taeil,1
Sedangkan Taeil emang cocok di Transit Love karena kalem-kalem terus 직진 gitu kan orangnya ya jad ibarat kata dia punya kisah cinta yang seru sama mantannya terus putus karena keadaan gitu dah. Nah sama yang cocok di Transit Love lagi tuh Jungwoo! si golden retriever bf.,1
apa aku pacaran aja sama Taeil ya? udh cinta bgt soal nya hehe,1
GALAU BANGET! mending beli highlighter dulu apa per PC an cinta ku loml moon taeil,1
Ternyata emang cinta pertama gue bang taeil Lop sekebon buat abang,1
@- baca twit ini jadi senyum2 najong soalnya bayangin dipanggil neng sm taeil (cinta emg suka bikin gak masuk akal sih),1
terus taeyong juga gemes banget taeil upload video gitaran dan semuanya pokoknya ku cinta,1
@- Rill sihhh. Kalo pas update senengnya udah mengarah ke ya ampun aku jatuh cinta lagi sama taeil,1
Emakkkk aku jatuh cinta berkali2 sama moon taeil,1
SAYANG YA ALLAH TAEIL ABANG CINTA KU,1
Lu pada gt gasi sehari sekali ada aja ngebatin kayanya gua cinta mati dah sm taeil huffff knp ya,1
ada taeil nya juga dia jalan jalan tukik tukik dia duduk dia senyum dia nyanyi dia kiwil dia HUFT DIA APAPUN JATUH CINTA,1
Emang white lie langsung bikin jatuh cinta apalagi pas chorus dimulai sama suaranya taeil,1
@-aku sayang semuanya termasuk taeil kak akan kujaga dengan penuh cinta kak,1
[OFFICIAL] 231221 #TAEIL (mo.on_air) Instagram Update Semoga keajaiban #natal mengisi rumahmu dengan cinta hatimu dengan kegembiraan dan hari-harimu dengan tawa. #NCT #NCT127 @NCTsmtown_127 @- @-,1
IH GUE CINTA TAEIL KALO FOTO NATAP KAMERA GITU BERASA DI TATAP,1
Taeil sehat sehat yh sayang cinta ku,1
keknya gua cinta mati banget sama produk SM SUPERM wayv aku bawa poca haechi johnny taeil,1
AKUUU CINTA BANGET SAMA VOICE OVER TAEIL YATUHANNNNN AKU SUKA BGT SUARANYAAA KALO VOICE OVERRR ITS LIKE A HONEY DEWWWW,1
@- Gue jatuh cinta sm taeil gegara cover an ini eh taeil share in jar juga ikut cover ini,1
Cinta pertama di NCT Taeyong trus sekarang gila Mark Lee tp urusan siapa yg cocok dijadikan suami gue bakal selalu pilih Taeil gatau kenapa kaya klo berumah tangga sama dia pasti harmonis,1
yang ngakunya cinta mampus sama taeil gih sini gak lo pada dm gue atau @- buat vatvot,1
Selamat pagi intinya aku cinta DOYOUNG sama TAEIL titik.,1
@- @- izin ikutan kak doa yang baik buat taeil semoga sehat selalu bisa berkarya lagi dengan lebih maksimal semoga bisa kumpul lagi bareng bujang nct semoga banyak orang baik di sekitar taeil semoga makin banyak dapat cinta dari orang orang di luar. ,1
sayangku cinta drpd bookmark mending take yuk # wts lfb pc murce ina jungwoo jaehyun mark taeil sungchan nct 127 dojaejung djj ay-yo ayyo 2 baddies pob mumo the link japan kihno tragic hehet first player neozone thailand smini heartcheek bangkok denim blueray us kolbuk resonance,1
Gue kalo abis menyatakan cinta sama Taeil tuh si Bapak ini ada aja kelakuan gantengnya,1
GUA CINTA BGT JUJUR SAMA RAMBUT KERITING KACK TAEIL BENER2 KALO NGELIAT FOTO DIA YANG KERITING PASTI NGEREOG,1
gua cinta banget sama taeil,1
Semakin semangat menjalani aktivitas hari ini karna sudah dikasih asupan cinta dan kasih sayang dari moon taeil eaaaaakk ,1
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,

